"Titel";"ISBN";"Verfasser";"PPN";"Jahr" 
"Werte und Wertungen im Sport : mehrdimensionale sportwissenschaftliche Betrachtungen ; [Dokumentation des Kolloquiums am Institut für Sportwissenschaften der Johann-Wolfgang-Goethe-Universität am 21. Januar 2005 in Frankfurt am Main]";"3832249648";"Kirsten Jäger (Hrsg.)";"512363129";"2006";
"Richtig Rennrad fahren";"9783835401648";"Peter Konopka";"513890114";"2006";
"Leporello : sprechen, schreiben, lesen. - 1. Übungen Teil 1";"978-3-14-129062-2";"";"1323005218";"2006";
"Gewaltprävention und -intervention in der Schule : theologische Impulse zu Mediation und gewaltfreier Kommunikation";"9783866241213";"von Lara Natalie Schmitz";"1601022603";"2006";
"Duden, Lesebuch. - 2, [Hauptbd.].";"9783898188234";"";"1320990797";"2006";
"Warum speien Vulkane Feuer?";"3421042489";"Ulrich Janßen; Ulla Steuernagel. Mit Ill. von Klaus Ensikat";"518522091";"2006";
"Doppel-Klick : das Sprach- und Lesebuch; für die Hauptschule. - 4, Arbeitsheft plus. ¬Das¬ Arbeitsheft Plus : [plus Materialien für den Zusatzunterricht]";"978-3-06-100012-7";"";"1327119110";"2006";
"Duden - Fibel. - [Schülerbd.] mit Lieder-CD. Fibel mit Lieder-CD";"3898188213";"";"1323014098";"2006";
"Duden, Lesebuch. - 2, Lehrermaterial. Lehrermaterial : [Kommentare, Lösungen, Diagnose- und Fördermaterial, Kopiervorlagen, alles auch auf CD-ROM]";"3898188299";"";"1323014802";"2006";
"¬The¬ international classroom : challenging the notion";"9783631538029";"Vittorina Cecchetto ... (eds.)";"513559493";"2006";
"Wortstark : Themen und Werkstätten für den Deutschunterricht. - 3/5, Methodentraining. Methodentraining zur Prüfungsvorbereitung nach Klasse 9";"3507480832";"";"1326496522";"2006";
"¬The¬ power of parents : a critical perspective of bicultural parent involvement in public schools";"9780820474786";"Edward M. Olivos";"508319250";"2006";
"Fokus Didaktik : Vorträge beim 16. internationalen Kongress der ÖMG und Jahrestagung der DMV, Universität Klagenfurt, 18. - 23.9.2005";"9783890195988";"Edith Schneider (Hrsg.)";"493342915";"2006";
"Reflective practice in teacher education : learning from case studies of environmental education";"0820480460";"Regula Kyburz-Graber ... (ed.)";"516441043";"2006";
"Freie Arbeit im Religionsunterricht : Materialien für die Praxis";"9783403026402";"Monika Kehr. [Ill.: Gitta Langenmayr]";"513294511";"2006";
"Brüder : der Älteste, der Stillste, der Echteste, der Fernste, der Liebste, der Schnellste und ich";"3446207902";"Bart Moeyaert. Aus dem Niederländ. von Mirjam Pressler";"510628133";"2006";
"No child left behind : primer";"082047844X";"Frederick M. Hess; Michael J. Petrilli";"505828065";"2006";
"Theaterwerkstatt für Kinder : 100 und eine Idee rund ums Theaterspielen";"3769815483";"Angelika Albrecht-Schaffer unter Mitarb. von Katrin Rohlfs. [Fotos: Manfred Lehner ... Zeichn.: Angelika Albrecht-Schaffer und Bernd Albrecht]";"504597760";"2006";
"Wortstark : Themen und Werkstätten für den Deutschunterricht. - 5, Werkstattheft mit Lernsoftware. Werkstattheft mit Lernsoftware";"3507481553";"[erarb. von August Busse...]";"1326690604";"2006";
"Deutschbuch : Sprach- und Lesebuch für Realschulen in Baden-Württemberg. - 4. Sprach- und Lesebuch";"9783464603482";"";"1327481642";"2006";
"Bildung und Biologie : Ansprüche an die Schulbiologie und Impulse aus der Lehr-Lern-Forschung";"3934881025";"Detlef Ehrig ... (Hrsg.)";"506666719";"2006";
"Studierende und Franz Fischers Bildungsphilosophie";"9783865831224";"Thomas Altfelix (Hg.). Mit Beitr. von Th. Altfelix ...";"517429071";"2006";
"Sexuelles Risikoverhalten junger Erwachsener : Grundlagen, Studie, Diskussion";"3-86550-275-X";"Martina Battisti";"513889981";"2006";
"Deutschbuch : Sprach- und Lesebuch für Realschulen in Baden-Württemberg. - 4, Arbeitsheft. Arbeitstechniken, Texte schreiben,. Grammatik, Rechtschreiben, Lesetraining, Lernstand testen";"9783464603444";"erarb. von Günther Biermann ...";"1327482428";"2006";
"Kinder und Jugendliche mit Förderbedarf in der Regelschule. - 1. Schülerinnen und Schüler mit Lernbesonderheiten";"3-403-04661-3";"Dirk Menzel ... (Hrsg.)";"132343805X";"2006";
"Colour land. - 4, Activity book. Mit Lernsoftware";"3125869218";"";"1328525775";"2006";
"¬Das¬ Sprachbuch. - 4, Materialien für Lehrerinnen und Lehrer. Materialien fur Lehrerinnen und Lehrer";"3762726841";"";"1323543686";"2006";
"Mobile - Lesebuch : für Baden-Württemberg. - 4, Kopiervorlagen.";"3141902275";"";"1325183601";"2006";
"Mathematische Bildung von Schülern am Ende der Sekundarstufe I : Analysen und empirische Untersuchungen";"9783881204248";"Alexander Jordan";"51236401X";"2006";
"¬Die¬ Prinzenrolle : über die männliche Sexualität ; vom Jungen bis zum Mann";"3499621568";"Dieter Schnack; Rainer Neutzling";"504127055";"2006";
"Ökonomische Bildung von Schüler/innen Allgemeinbildender Höherer Schulen : Modellentwicklung, Entwicklung eines Messinstruments, ausgewählte Ergebnisse";"3851149599";"Elke Brandlmaier ...";"132222711X";"2006";
"Deutschbuch : Sprach- und Lesebuch für Realschulen in Baden-Württemberg. - 5, Arbeitsheft. Arbeitsheft : Arbeitstechniken, Texte erschließen, Texte schreiben, grammatik, Rechtschreiben ; [9. Schuljahr]";"9783464603468";"hrsg. von Christa Becker-Binder ... Erarb. von Bernd Stäblein ...";"1327588463";"2006";
"Von Avatar bis Zavatar : Lexikon des Kinderalltags; eine Übersetzungshilfe";"3530401900";"Thomas Feibel";"1601720467";"2006";
"Trio : Welt, Zeit, Gesellschaft. - Atlas. Trio-Atlas";"3507013452";"";"1327649063";"2006";
"Was ist das? : [ein Spiel- und Ratebuch]";"9783806751277";"Antje Damm";"506739406";"2006";
"Wenn Gott gut ist, warum gibt es dann das Böse in der Welt? : Fragen an die Religion";"3446207988";"Gerhard Staguhn";"510628125";"2006";
"Building on language diversity with young children : teacher education for the support of second language acquisition";"3-8258-9786-9";"Andy Hancock, ...(Eds.)";"1601794355";"2006";
"Maßstab : Mathematik Hauptschule. - 4, Lösungen.";"9783507841284";"";"132856326X";"2006";
"Tandem : ein Deutschbuch für das ... Schuljahr. - 3, [Hauptbd.]. Für das 7. Schuljahr";"3140271220";"";"1328634205";"2006";
"Deutsch zu zweit : ein romantisch-grammatisches Arbeitsbuch für Deutsch als Fremdsprache";"3929526824";"Gerhard Antretter. Mit Zeichn. von Babette Dieterich";"516268627";"2006";
"Mit eigenen Worten : Hauptschule Baden-Württemberg; (für die Klassen ...). - 2, Lehrer- u. Materialbd.. für die Klasse 7";"3141933472";"";"1323817395";"2006";
"Beyond learning : democratic education for a human future";"1-59451-234-5";"Gert J. J. Biesta";"506703983";"2006";
"Doppel-Klick : das Sprach- und Lesebuch; für die Hauptschule. - 3, [Lehrerband]. Erläuterungen, Kopiervorlagen, Lösungshinweise";"3-464-60834-4";"hrsg. von Werner Bentin... ; erarb. von Benildis Andris..";"1328874559";"2006";
"Ich hab Mut, dann geht's mir gut! : Eine Praxiseinheit zum Aufbau von Selbstwertgefühl in Kindergarten und Vorschule; mit Kopiervorlagen";"978-3-403-04557-1";"Annette Starke. [Ill.: Antje Hagemann]";"506298221";"2006";
"Was erhält Menschen gesund? : Antonovskys Modell der Salutogenese - Diskussionsstand und Stellenwert ; eine Expertise";"3933191106";"von Jürgen Bengel, Regine Strittmatter und Hildegard Willmann";"585602883";"2006";
"Mit eigenen Worten : Hauptschule Baden-Württemberg; (für die Klassen ...). - 3, Arbeitsheft.";"3141234485";"";"1328961893";"2006";
"Unterrichtsmethoden in der Grundschule : aktuelle und innovative Unterrichtsmethoden mit Praxisbeispielen";"3-7892-1733-6";"Wolfgang Schumann (Hrsg.)";"1602007004";"2006";
"Islam und Islamismus";"3899742664";"[Autor: Wolfgang Günter]";"509633978";"2006";
"¬Das¬ Bildungsideal der OECD : zur Kritik der normativen Grundlagen der PISA-Studie";"";"Daniel Müller. Institut für Pädagogik der Universität zu Kiel";"1329982622";"2006";
"Deutsche Grammatik : ein Handbuch für den Ausländerunterricht";"3468494939";"Gerhard Helbig; Joachim Buscha";"520855728";"2006";
"Mit eigenen Worten : Hauptschule Baden-Württemberg; (für die Klassen ...). - 3, Lehrer- und Materialbd.. für die Klasse 8/9";"3141933480";"";"1328962121";"2006";
"Wortstark : Themen und Werkstätten für den Deutschunterricht. - 3/4,  Methodentraining. Methodentraining zur Prüfungsvorbereitung nach Klasse 8";"3507480859";"";"132896549X";"2006";
"Sport für Senioren : Psychomotorische Grundlagen und Praxis des Übens. - (Hauptband).";"";"Gerhard Kirchner";"1328120929";"2006";
"Sport für Senioren : Psychomotorische Grundlagen und Praxis des Übens. - (Beilage). Psychomotorische Prüfverfahren im Sport mit Älteren";"";"von G. Kirchner & Kerstin Lang";"1328121208";"2006";
"Lehren und Lernen für die Zukunft : Unterrichtsentwicklung in selbstständigen Schulen";"3427333035";"Christoph Höfer; Petra Madelung";"522118488";"2006";
"Entwicklungspädagogik im Klassenunterricht : eine Handreichung";"9783931056056";"Marita Bergsson";"1328138100";"2006";
"Mass Customization und E-Learning : individualisierte Lernangebote";"9783865508270";"Agnes Langer";"1602041296";"2006";
"Mobile - Sprachbuch : für Baden-Württemberg. - 4, Kopiervorlagen.";"9783141922172";"";"1328225704";"2006";
"DDR-Geschichte im Unterricht : Schulbuchanalyse, Schülerbefragung, Modellcurriculum";"3938690437";"hrsg. von Ulrich Arnswald; Ulrich Bongertmann und Ulrich Mählert";"519739965";"2006";
"¬Das¬ Ravensburger Grundschullexikon von A-Z : [über 500 Stichwörter ; mit großem Leserätsel]";"3473550701";"Peggy Gampfer; Claudia Köster-Ollig; Anke Schönfeld";"510935591";"2006";
"Game-Based-Learning für Kinder : Konzeption, Entwicklung und Praxis eines kollaborativen Lernspiels";"9783865504937";"Sindy Ruppik";"518967875";"2006";
"Schwester";"3907588703";"Jon Fosse. Mit Bildern  von Aljoscha Blau. Dt. von Hinrich Schmidt-Henkel";"504587900";"2006";
"Geobrett im Unterricht";"9783881204170";"Horst Steibl";"523266499";"2006";
"Unterrichtsmethoden Sekundarstufe : aktuelle und innovative Unterrichtsmethoden mit Praxisbeispielen";"3-7892-1732-8";"Wolfgang Schumann (Hrsg.)";"1603775293";"2006";
"Archimedes und der Hebel der Welt";"3401057448";"Luca Novelli. Aus dem Ital. von Anne Braun";"1603873627";"2006";
"Maximen und Reflexionen";"9783423343787";"Johann Wolfgang von Goethe. Hrsg. und mit einem Nachw. von Helmut Koopmann";"512949131";"2006";
"Master of education : für eine neue Lehrerbildung";"9783938349281";"";"1330422929";"2006";
"Deutschbuch : Sprach- und Lesebuch für Realschulen in Baden-Württemberg. - 3, Arbeitsheft. Arbeitstechniken, Texte schreiben, Grammatik,  Rechtschreiben, Lesetraining";"3464603431";"";"1330457641";"2006";
"Bob Dylan : Musik, Visionen, Hintergründe; [Vorwort von Bono]";"978-3-8310-0948-0";"Chefred.: Mark Blake. [Übers. Kirsten Borchardt ...]";"511627785";"2006";
"Mit eigenen Worten : Hauptschule Baden-Württemberg; (für die Klassen ...). - 1, Lehrer- und Materialband. Lehrer- und Materialband für die Klassen 5/6";"3141933456";"Anton Bosanis ...";"1329513339";"2006";
"¬Das¬ neue Hirschgraben-Sprachbuch. - 1.";"3-464-60702-X";"";"1330510011";"2006";
"Schülervorstellungen zu "unendlichen Prozessen"";"3881204326";"Andreas Marx";"525369457";"2006";
"¬Das¬ große Übungsbuch zur Rechtschreibung : Informationen, Spiele, Übungen, Lernzirkel";"3834602191";"Thomas Klotz";"519815025";"2006";
"DeutschProfi : Lese- und Sprachbuch für das ... Schuljahr. - 4, Lehrermaterialien. Lehrermaterialien : mit Sprachstandsdiagnose und CD-ROM";"3486102389";"hrsg. von Werner Knapp; verfasst von Birgit Kölmel ...";"1329514939";"2006";
"Einblicke Mathematik. - 2,[Schülerbuch].";"3127463618";"";"1329520572";"2006";
"Multimedia didactics : studies on the learning effects of dynamic visual media, based on analyses of cognitive models and learning content characteristics";"9783832256197";"Sissel Guttormsen Schär";"1604127910";"2006";
"Doppel-Klick : das Sprach- und Lesebuch; für die Hauptschule. - 2, [Lehrerband]. Erläuterungen, Kopiervorlagen, Lösungshinweise";"3-464-60833-6";"hrsg. von Renate Krull... Erarb. von Benildis Andris ...";"133054479X";"2006";
"Schnittpunkt : Mathematik für Realschulen. - 3, Servicebd.. [7. Klasse]";"3127403720";"";"1329559878";"2006";
"deutsch.kombi : Sprach- und Lesebuch für das .... - 4, [Schülerb.].";"3123131408";"";"1330561635";"2006";
"¬Das¬ Zahlenbuch : Mathematik im ... Schuljahr; Programm Mathe 2000. - 6, Übungsheft. Mathematik im 6. Schuljahr Übungsheft";"3264831031";"";"1332281443";"2006";
"Kunstunterricht im ... Schuljahr. - 1/2. 1. und 2. Schuljahr";"9783486003017";"Karin Krafft ; Anja Rahm";"1332322719";"2006";
"Diercke - Weltatlas 2";"3141006539";"[Carl] Diercke [Begr.] ; Fachberater: Volker Kaminske ...";"532817672";"2006";
"Techniktraining und konditionelle Belastungen : eine Untersuchung zum Wurftraining mit Jugendlichen im Basketball";"3939390909";"Claudia Augste";"522423515";"2006";
"Theodor Fontane";"3150152135";"von Theodor Pelster";"1604225998";"2006";
"DeutschProfi : Lese- und Sprachbuch für das ... Schuljahr. - 4, Arbeitsheft.";"3486002562";"";"1332449859";"2006";
"Abschlussprüfung Englisch  Klasse 9 Hauptschule Baden-Württemberg : [Musteraufgaben, Hörverstehensaufgaben, Lerntipps mit CD]";"3464317811";"";"1603399798";"2006";
"Jo-Jo : Mensch, Natur, Kultur. - 3, Arbeitsheft mit CD-ROM.";"9783464800096";"";"1330918150";"2006";
"Sneaker-Story : der Zweikampf von Adidas und Nike";"3981068521";"Christoph Bieber";"513286756";"2006";
"Erziehung für einen neuen Gesellschaftsvertrag";"9783898962742";"Danilo R. Streck";"1605695513";"2006";
"Materialien für einen projektorientierten Mathematik- und Informatikunterricht. - 3 ; Teilband Informatik. Unterrichtsmaterialien und Projektideen von der Schülerakademie Mathematik und Informatik, Münster 2005";"9783881204293";"";"1344114164";"2006";
"Kunst im Überblick : Stile - Künstler - Werke";"3486875078";"Walter Etschmann; Robert Hahne; Volker Tlusty. Kammerlohr";"1605919179";"2006";
"Mathetiger : [der neue Mathematiklehrgang]. - 2,Schülerbuch.";"9783619253609";"";"1353651452";"2006";
"deutsch.kombi : Sprach- und Lesebuch für das .... - 3, [Schülerbd.].";"9783123131301";"";"1337682535";"2006";
"¬Die¬ Förderung von Selbstregulation bei Kindern unter Einbeziehung ihrer Eltern";"3-8325-1173-3";"Susanne Bruder";"1609539915";"2006";
"Professionell kooperieren und qualifizieren in der Benachteiligtenförderung : Rückblicke - Einblicke - Ausblicke";"3866750293";"Anke S. Kampmeier ... (Hg.)";"520990781";"2006";
"Münsteraner Trainingsprogramm : MÜT; Förderung der phonologischen Bewusstheit am Schulanfang";"9783060815241";"von Gerd Mannhaupt";"1607382040";"2006";
"Pusteblume : Mensch, Natur und Kultur. - 4, Materialien. Materialien, Anregungen, Informationen für Lehrerinnen und Lehrer";"9783507465626";"";"1335519238";"2006";
"Einstellungen von Eltern zum gemeinsamen Unterricht von Schülerinnen und Schülern mit und ohne Förderschwerpunkt "Geistige Entwicklung"";"3832256075";"Frank J. Müller";"526956852";"2006";
"Milde revisited : Vincenz Eduard Mildes pädagogisches Wirken aus der Sicht der modernen Erziehungswissenschaft";"3825894479";"Ines Maria Breinbauer ... (Hg.)";"519946650";"2006";
"English G 21, B. - 1, Workbook, Lehrerfassung. Workbook mit Lösungen";"9783060313839";"[erarb. von Jennifer Seidl]";"1344629245";"2006";
"¬Dem¬ Spielen Raum geben : Grundlagen und Orientierungshilfen zur Spiel- und Freizeitgestaltung in sozialpädagogischen Einrichtungen";"3464491544";"Freya Pausewang";"1608110915";"2006";
"Konfetti Thema. - 1/2, Arbeitsheft. Thema Schule";"9783425023564";"Ingrid Messelken";"1335648151";"2006";
"Camden Town : Englisch für die Realschule und verwandte Schulformen. - 3, Workbook. Workbook für Klasse 7";"9783425722139";"";"1354439252";"2006";
"Geometrie: so geht's : 1. bis 4. Schuljahr";"3-86072-638-2";"Birgit Brandenburg";"1613943512";"2006";
"Grünholz-Vorlagenbuch : über 300 Ideen für traditionelle Holzarbeiten";"3878705980";"Ray Tabor";"508394538";"2006";
"Jahreszeitliche Textilgestaltung in der Primarstufe";"3-89358-286-X";"Rosemarie Schmidt";"1602067597";"2006";
"Deutschbuch : Sprach- und Lesebuch für Realschulen in Baden-Württemberg. - 2. Arbeitsheft, [Klasse 6] ; Rechtschreiben, Grammatik, Texte schreiben, Lesetraining, Arbeitstechniken";"9783464603413";"";"1333712588";"2006";
"Alamannen : Spurensuche in der Vergangenheit; [eine fächerübergreifende Unterrichtseinheit über die Alamannen]. - Buch.";"";"Markus Bertet ; Thomas Meyenhofer";"1333722648";"2006";
"Trainingsheft Abschlussprüfung Englisch Klasse 10. - [Buch].";"9783125811027";"[Autoren: Gillian Bathmaker ...]";"1342300289";"2006";
"Emilia Galotti : ein Trauerspiel in fünf Aufzügen";"9783150000458";"Gotthold Ephraim Lessing. Anmerkungen von Jan-Dirk Müller";"160673802X";"2006";
"Philosophy of educational research";"0826448135";"Richard Pring";"1615268790";"2006";
"Reading extra : a resource book of multi-level skills activities";"0521534054";"Liz Driscoll";"1606477560";"2006";
"Portobello Road. - 2, Teacher's manual. Teacher's Manual 2 für Klasse 6 mit Kopiervorlagen und Workbook-Lösungsheft, mit Extra-Service für fachfremd Unterrichtende";"342572052X";"";"1391930258";"2006";
"Tintenklecks : Das Deutschbuch.... - 4, [Hauptbd.].";"3403042162";"";"1393346227";"2006";
"¬Das¬ kleine Museum";"3-89565-150-8";"Bildauswahl von Alain Le Saux und Grégoire Solotareff";"160427087X";"2006";
"Pluspunkt Mathematik : für die Hauptschule. - 2, Handreichungen für den Unterricht mit Kopiervorlagen. Handreichungen für den Unterricht mit Kopiervorlagen";"3464523047";"";"1184125260";"2006";
"¬Die¬ türkische Jugend im Land der Hoffnungen : die in Deutschland aufgewachsene zweite und dritte Generation türkischer Jugendlicher";"3833467754";"Nebahat S. Ercan. Übers. von Melek Korkmaz";"525557857";"2006";
